trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,ResponseTime.rt,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,,,,62.49653871927876,None,62.49653871927876,62.758785760146566,space,62.49653871927876,None,62.913930930546485,None,4,62.913930930546485,None,0.3957989098271355,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
12,0,12,0,,,,,,,,,,,,,66.9087474879343,None,66.9087474879343,67.15538840636145,space,66.9087474879343,None,67.37520225602202,None,4,67.37520225602202,None,0.44764245254918933,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
13,0,13,0,,,,,,,,,,,,,71.3731907273177,None,71.3731907273177,71.63722465932369,space,71.3731907273177,None,71.79110405431129,None,6,71.79110405431129,None,0.39193813130259514,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
14,0,14,0,,,,,,,,,,,,,77.78672726545483,None,77.78672726545483,78.05159191938583,space,77.78672726545483,None,78.28839509107638,None,3,78.28839509107638,None,0.47468066622968763,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
15,0,15,0,,,,,,,,,,,,,81.29029831243679,None,81.29029831243679,81.5504309872631,space,81.29029831243679,None,81.72009884065483,None,3,81.72009884065483,None,0.4102862199069932,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
16,0,16,0,,,,,,,,,,,,,84.71886260376777,None,84.71886260376777,84.98255994380452,space,84.71886260376777,None,85.18603139894549,None,1,85.18603139894549,None,0.44600179500412196,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
17,0,17,0,,,,,,,,,,,,,86.18459386343602,None,86.18459386343602,86.44864821701776,space,86.18459386343602,None,86.63523938693106,None,4,86.63523938693106,None,0.4291477659717202,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
18,0,18,0,,,,,,,,,,,,,90.63340399460867,None,90.63340399460867,90.89714728330728,space,90.63340399460867,None,91.0673413578188,None,2,91.0673413578188,None,0.411851390497759,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
19,0,19,0,,,,,,,,,,,,,93.06621561653446,None,93.06621561653446,93.3301430643769,space,93.06621561653446,None,93.48294558410998,None,3,93.48294558410998,None,0.38671603344846517,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
20,0,20,0,,,,,,,,,,,,,96.48061824974138,None,96.48061824974138,96.74519882444292,space,96.48061824974138,None,96.89898887497839,None,4,96.89898887497839,None,0.3965173129690811,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
21,0,21,0,,,,,,,,,,,,,100.89735040534288,None,100.89735040534288,101.1615849067457,space,100.89735040534288,None,101.36707591335289,None,6,101.36707591335289,None,0.4440770579967648,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
22,0,22,0,,,,,,,,,,,,,107.36102528159972,None,107.36102528159972,107.62483749329112,space,107.36102528159972,None,107.8110570628196,None,5,107.8110570628196,None,0.41905037325341254,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
23,0,23,0,,,,,,,,,,,,,112.81315356004052,None,112.81315356004052,113.05722354340833,space,112.81315356004052,None,113.24683857045602,None,2,113.24683857045602,None,0.4082327538635582,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
24,0,24,0,,,,,,,,,,,,,115.24307187716477,None,115.24307187716477,115.5070084418403,space,115.24307187716477,None,115.67892267252319,None,1,115.67892267252319,None,0.40115520672407,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
25,0,25,0,,,,,,,,,,,,,116.67417756526265,None,116.67417756526265,116.93828844290692,space,116.67417756526265,None,117.12503788026515,None,5,117.12503788026515,None,0.41836004971992224,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
26,0,26,0,,,,,,,,,,,,,122.12303692707792,None,122.12303692707792,122.38661538413726,space,122.12303692707792,None,122.57760011788923,None,5,122.57760011788923,None,0.4170162348309532,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
27,0,27,0,,,,,,,,,,,,,127.5704850096954,None,127.5704850096954,127.83457400707994,space,127.5704850096954,None,128.00436840148177,None,6,128.00436840148177,None,0.4015578043181449,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
28,0,28,0,,,,,,,,,,,,,134.00165159790777,None,134.00165159790777,134.24903936381452,space,134.00165159790777,None,134.43506529263686,None,5,134.43506529263686,None,0.4023017344297841,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
29,0,29,0,,,,,,,,,,,,,139.4332014559768,None,139.4332014559768,139.68044554127846,space,139.4332014559768,None,139.85023592435755,None,4,139.85023592435755,None,0.39596738817635924,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
30,0,30,0,,,,,,,,,,,,,143.84955799975432,None,143.84955799975432,144.112411124981,space,143.84955799975432,None,144.24925816676114,None,2,144.24925816676114,None,0.37158507807180285,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
31,0,31,0,,,,,,,,,,,,,146.2481663399376,None,146.2481663399376,146.49524887569714,space,146.2481663399376,None,146.66463301458862,None,6,146.66463301458862,None,0.3883818535832688,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
32,0,32,0,,,,,,,,,,,,,152.66268311534077,None,152.66268311534077,152.92610512836836,space,152.66268311534077,None,153.06337336578872,None,2,153.06337336578872,None,0.3737986348569393,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
