trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
67,0,67,0,,,,,,,,,,,,,285.4570189033366,None,285.4569561614426,None,space,0.3247481957259879,285.4570189033366,None,285.80780676925133,None,2,285.80780676925133,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
68,0,68,0,,,,,,,,,,,,,287.8085390554879,None,287.80801534364764,288.05789791456846,space,0.32509448098790017,287.8085390554879,None,288.1575245422973,None,3,288.1575245422973,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
69,0,69,0,,,,,,,,,,,,,291.15979190754297,None,291.158243619715,291.40806327024256,space,0.614163692080183,291.15979190754297,None,291.80824855071114,None,4,291.80824855071114,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
70,0,70,0,,,,,,,,,,,,,295.80939539752944,None,295.8087574472502,296.058644034365,space,0.3244742019705882,295.80939539752944,None,296.161096278458,None,6,296.161096278458,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
71,0,71,0,,,,,,,,,,,,,302.1778335483468,None,302.1755119198406,302.4254301902729,space,0.3479689432097075,302.1778335483468,None,302.54562955419533,None,1,302.54562955419533,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
72,0,72,0,,,,,,,,,,,,,303.5593171932851,None,303.5589179834951,303.80887909333615,space,0.35035010065257666,303.5593171932851,None,303.9281975718077,None,6,303.9281975718077,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
73,0,73,0,,,,,,,,,,,,,309.9438473453156,None,309.9435574652798,310.1931066920042,space,0.30971914747715346,309.9438473453156,None,310.27660249530527,None,1,310.27660249530527,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
74,0,74,0,,,,,,,,,,,,,311.2769434256443,None,311.27690879711554,311.5271586267627,space,0.32871128778424463,311.2769434256443,None,311.6273042361463,None,3,311.6273042361463,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
75,0,75,0,,,,,,,,,,,,,314.62687628825006,None,314.626982672793,314.8772606158054,space,0.3628917854075553,314.62687628825006,None,315.0273377936901,None,5,315.0273377936901,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
76,0,76,0,,,,,,,,,,,,,320.0285091839214,None,320.02830498271396,320.2784365577281,space,0.3611853487418557,320.0285091839214,None,320.42830935590246,None,6,320.42830935590246,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
77,0,77,0,,,,,,,,,,,,,326.4284918696576,None,326.4283720085459,None,space,0.3289665392912866,326.4284918696576,None,326.77831584875094,None,2,326.77831584875094,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
78,0,78,0,,,,,,,,,,,,,328.78016151351403,None,328.7793191835317,329.0293427675242,space,0.4414731046563247,328.78016151351403,None,329.24993005126817,None,2,329.24993005126817,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
79,0,79,0,,,,,,,,,,,,,331.2634958657727,None,331.2628677328594,331.51281143919186,space,0.3741335616905417,331.2634958657727,None,331.6652907479802,None,4,331.6652907479802,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
