BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,text.started,text.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,text_3.started,text_3.stopped,BreakMsg.started,BreakMsg.stopped,BreakResp.keys,BreakResp.rt,BreakResp.started,BreakResp.stopped,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,text_4.started,text_4.stopped,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
2,5,six.wav,NT,n,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,1306.8041985481977,1307.3102313264972,1307.3102313264972,1307.9591154648224,n,1,1307.3102313264972,None,0.9730795066570863,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,6,six.wav,NT,n,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,1309.3140516362619,1309.8245151861338,1309.8245151861338,1310.4495993342716,n,1,1309.8245151861338,None,0.8746430767932907,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,7,one.wav,T,v,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,1311.7984410977224,1312.3135152028408,1312.3135152028408,None,v,1,1312.3135152028408,None,0.9776313495822251,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,8,eight.wav,NT,n,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,1314.3141949526034,1314.8206441868097,1314.8206441868097,1315.323445966118,n,1,1314.8206441868097,None,0.8147547249682248,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,9,three.wav,NT,n,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,1316.7991591379978,1317.303904986824,1317.303904986824,None,n,1,1317.303904986824,None,0.9554811380803585,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,10,one.wav,T,v,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,1319.3111225861358,1319.817395318998,1319.817395318998,None,v,1,1319.817395318998,None,1.178375937975943,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,11,four.wav,NT,n,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,1321.82400172716,1322.333919362165,1322.333919362165,1322.861192858545,n,1,1322.333919362165,None,0.8691536606056616,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,12,three.wav,T,v,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,1324.3106809677556,1324.81859290367,1324.81859290367,1325.3200968133751,v,1,1324.81859290367,None,1.008752141497098,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,13,one.wav,T,v,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,1326.824900280335,1327.3342811174225,1327.3342811174225,None,v,1,1327.3342811174225,None,1.5093057145131752,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,14,nine.wav,NT,n,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,1329.3093648644863,1329.816190076177,1329.816190076177,1330.4684908317868,n,1,1329.816190076177,None,1.0594161008484662,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,15,three.wav,T,v,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,1331.820395844872,1332.3241275391774,1332.3241275391774,None,v,1,1332.3241275391774,None,1.0070396391674876,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,16,seven.wav,NT,n,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,1334.307001056848,1334.8169992845505,1334.8169992845505,1335.4411031928612,n,1,1334.8169992845505,None,0.9386803082888946,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,17,five.wav,NT,n,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,1336.8182942367857,1337.3242467871169,1337.3242467871169,1337.923321394017,n,1,1337.3242467871169,None,1.1118512748507783,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,18,three.wav,T,v,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,1339.3001835033065,1339.805431141518,1339.805431141518,None,v,1,1339.805431141518,None,0.9337659807642922,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
