Wavelength,Low,Medium,High
716nm,3.803E-04,4.370E-04,3.283E-04
717nm,3.735E-04,4.295E-04,3.181E-04
718nm,3.663E-04,4.216E-04,3.071E-04
719nm,3.576E-04,4.116E-04,2.949E-04
720nm,3.434E-04,3.907E-04,2.780E-04
721nm,3.279E-04,3.689E-04,2.609E-04
722nm,3.122E-04,3.482E-04,2.447E-04
723nm,2.970E-04,3.314E-04,2.308E-04
724nm,2.850E-04,3.304E-04,2.236E-04
725nm,2.743E-04,3.318E-04,2.189E-04
726nm,2.647E-04,3.329E-04,2.163E-04
727nm,2.565E-04,3.298E-04,2.154E-04
728nm,2.505E-04,3.091E-04,2.165E-04
729nm,2.450E-04,2.866E-04,2.177E-04
730nm,2.395E-04,2.655E-04,2.180E-04
731nm,2.329E-04,2.509E-04,2.158E-04
732nm,2.224E-04,2.568E-04,2.075E-04
733nm,2.115E-04,2.661E-04,1.972E-04
734nm,2.011E-04,2.753E-04,1.857E-04
735nm,1.922E-04,2.790E-04,1.735E-04
736nm,1.871E-04,2.663E-04,1.611E-04
737nm,1.833E-04,2.498E-04,1.497E-04
738nm,1.803E-04,2.315E-04,1.401E-04
739nm,1.772E-04,2.139E-04,1.343E-04
740nm,1.731E-04,2.006E-04,1.358E-04
741nm,1.694E-04,1.893E-04,1.389E-04
742nm,1.663E-04,1.804E-04,1.423E-04
743nm,1.650E-04,1.757E-04,1.431E-04
744nm,1.671E-04,1.774E-04,1.382E-04
745nm,1.688E-04,1.801E-04,1.319E-04
746nm,1.691E-04,1.822E-04,1.246E-04
747nm,1.653E-04,1.792E-04,1.168E-04
748nm,1.552E-04,1.674E-04,1.089E-04
749nm,1.427E-04,1.545E-04,1.019E-04
750nm,1.283E-04,1.422E-04,9.666E-05
751nm,1.119E-04,1.352E-04,9.575E-05
752nm,9.380E-05,1.360E-04,1.005E-04
753nm,7.712E-05,1.386E-04,1.064E-04
754nm,6.340E-05,1.420E-04,1.119E-04
755nm,5.795E-05,1.432E-04,1.139E-04
756nm,6.224E-05,1.412E-04,1.111E-04
757nm,6.925E-05,1.383E-04,1.065E-04
758nm,7.709E-05,1.348E-04,1.005E-04
759nm,8.102E-05,1.317E-04,9.326E-05
