Wavelength,Low,Medium,High
604nm,2.30E-03,2.44E-03,1.80E-03
605nm,2.34E-03,2.43E-03,1.81E-03
606nm,2.39E-03,2.43E-03,1.81E-03
607nm,2.44E-03,2.42E-03,1.80E-03
608nm,2.49E-03,2.41E-03,1.79E-03
609nm,2.55E-03,2.40E-03,1.78E-03
610nm,2.61E-03,2.39E-03,1.77E-03
611nm,2.68E-03,2.38E-03,1.75E-03
612nm,2.76E-03,2.36E-03,1.74E-03
613nm,2.85E-03,2.35E-03,1.72E-03
614nm,2.94E-03,2.34E-03,1.71E-03
615nm,3.04E-03,2.32E-03,1.70E-03
616nm,3.15E-03,2.31E-03,1.68E-03
617nm,3.27E-03,2.29E-03,1.66E-03
618nm,3.39E-03,2.27E-03,1.64E-03
619nm,3.51E-03,2.25E-03,1.62E-03
620nm,3.62E-03,2.23E-03,1.61E-03
621nm,3.72E-03,2.21E-03,1.60E-03
622nm,3.81E-03,2.19E-03,1.58E-03
623nm,3.87E-03,2.16E-03,1.57E-03
624nm,3.90E-03,2.13E-03,1.54E-03
625nm,3.90E-03,2.11E-03,1.52E-03
626nm,3.86E-03,2.08E-03,1.50E-03
627nm,3.80E-03,2.05E-03,1.47E-03
628nm,3.69E-03,2.01E-03,1.45E-03
629nm,3.55E-03,1.98E-03,1.44E-03
630nm,3.38E-03,1.95E-03,1.42E-03
631nm,3.20E-03,1.91E-03,1.40E-03
632nm,3.01E-03,1.88E-03,1.38E-03
633nm,2.81E-03,1.85E-03,1.36E-03
634nm,2.62E-03,1.82E-03,1.34E-03
635nm,2.43E-03,1.79E-03,1.31E-03
636nm,2.27E-03,1.76E-03,1.29E-03
637nm,2.12E-03,1.73E-03,1.27E-03
638nm,1.99E-03,1.70E-03,1.25E-03
639nm,1.87E-03,1.67E-03,1.23E-03
640nm,1.77E-03,1.64E-03,1.21E-03
641nm,1.69E-03,1.61E-03,1.19E-03
642nm,1.61E-03,1.57E-03,1.16E-03
643nm,1.54E-03,1.54E-03,1.14E-03
644nm,1.48E-03,1.51E-03,1.12E-03
645nm,1.43E-03,1.48E-03,1.09E-03
646nm,1.38E-03,1.45E-03,1.07E-03
647nm,1.34E-03,1.42E-03,1.05E-03
648nm,1.30E-03,1.40E-03,1.03E-03
649nm,1.26E-03,1.37E-03,1.01E-03
650nm,1.23E-03,1.34E-03,9.85E-04
651nm,1.20E-03,1.32E-03,9.65E-04
652nm,1.17E-03,1.29E-03,9.48E-04
653nm,1.14E-03,1.26E-03,9.31E-04
654nm,1.12E-03,1.24E-03,9.15E-04
655nm,1.09E-03,1.21E-03,8.98E-04
656nm,1.06E-03,1.18E-03,8.79E-04
657nm,1.04E-03,1.16E-03,8.59E-04
658nm,1.01E-03,1.13E-03,8.40E-04
659nm,9.81E-04,1.11E-03,8.20E-04
660nm,9.55E-04,1.08E-03,8.02E-04
661nm,9.30E-04,1.06E-03,7.85E-04
662nm,9.05E-04,1.03E-03,7.68E-04
663nm,8.83E-04,1.01E-03,7.52E-04
664nm,8.64E-04,9.85E-04,7.37E-04
665nm,8.48E-04,9.60E-04,7.23E-04
666nm,8.32E-04,9.37E-04,7.08E-04
667nm,8.17E-04,9.16E-04,6.93E-04
668nm,7.99E-04,9.00E-04,6.75E-04
669nm,7.81E-04,8.87E-04,6.57E-04
670nm,7.62E-04,8.74E-04,6.39E-04
671nm,7.44E-04,8.61E-04,6.21E-04
672nm,7.28E-04,8.43E-04,6.04E-04
673nm,7.14E-04,8.23E-04,5.87E-04
674nm,6.99E-04,8.02E-04,5.71E-04
675nm,6.85E-04,7.81E-04,5.59E-04
676nm,6.67E-04,7.62E-04,5.52E-04
677nm,6.49E-04,7.45E-04,5.49E-04
678nm,6.31E-04,7.27E-04,5.47E-04
679nm,6.14E-04,7.09E-04,5.44E-04
680nm,6.02E-04,6.88E-04,5.37E-04
681nm,5.91E-04,6.68E-04,5.26E-04
682nm,5.82E-04,6.47E-04,5.14E-04
683nm,5.73E-04,6.27E-04,5.00E-04
684nm,5.64E-04,6.08E-04,4.84E-04
685nm,5.54E-04,5.91E-04,4.67E-04
686nm,5.44E-04,5.75E-04,4.50E-04
687nm,5.33E-04,5.60E-04,4.34E-04
688nm,5.20E-04,5.46E-04,4.21E-04
689nm,5.06E-04,5.32E-04,4.10E-04
690nm,4.91E-04,5.20E-04,4.00E-04
691nm,4.74E-04,5.09E-04,3.90E-04
692nm,4.52E-04,5.01E-04,3.79E-04
693nm,4.29E-04,4.94E-04,3.68E-04
694nm,4.08E-04,4.87E-04,3.57E-04
695nm,3.90E-04,4.79E-04,3.48E-04
696nm,3.84E-04,4.65E-04,3.42E-04
697nm,3.82E-04,4.49E-04,3.37E-04
698nm,3.82E-04,4.33E-04,3.33E-04
699nm,3.82E-04,4.16E-04,3.28E-04
700nm,3.74E-04,4.00E-04,3.22E-04
701nm,3.64E-04,3.85E-04,3.14E-04
702nm,3.53E-04,3.71E-04,3.05E-04
703nm,3.41E-04,3.58E-04,2.94E-04
704nm,3.30E-04,3.51E-04,2.77E-04
705nm,3.20E-04,3.45E-04,2.60E-04
706nm,3.09E-04,3.40E-04,2.44E-04
707nm,3.00E-04,3.35E-04,2.29E-04
708nm,2.91E-04,3.24E-04,2.25E-04
709nm,2.83E-04,3.13E-04,2.23E-04
710nm,2.76E-04,3.02E-04,2.22E-04
711nm,2.69E-04,2.92E-04,2.22E-04
712nm,2.62E-04,2.86E-04,2.18E-04
713nm,2.56E-04,2.82E-04,2.14E-04
714nm,2.50E-04,2.78E-04,2.08E-04
715nm,2.43E-04,2.75E-04,2.01E-04
716nm,2.32E-04,2.73E-04,1.92E-04
717nm,2.21E-04,2.70E-04,1.83E-04
718nm,2.10E-04,2.65E-04,1.73E-04
719nm,1.99E-04,2.58E-04,1.64E-04
720nm,1.90E-04,2.43E-04,1.56E-04
721nm,1.82E-04,2.26E-04,1.49E-04
722nm,1.74E-04,2.08E-04,1.43E-04
723nm,1.67E-04,1.92E-04,1.39E-04
724nm,1.62E-04,1.81E-04,1.41E-04
725nm,1.57E-04,1.71E-04,1.43E-04
726nm,1.53E-04,1.64E-04,1.45E-04
727nm,1.49E-04,1.58E-04,1.44E-04
728nm,1.44E-04,1.55E-04,1.33E-04
729nm,1.39E-04,1.52E-04,1.20E-04
730nm,1.36E-04,1.50E-04,1.07E-04
731nm,1.33E-04,1.48E-04,9.76E-05
732nm,1.31E-04,1.45E-04,9.70E-05
733nm,1.30E-04,1.43E-04,9.85E-05
734nm,1.30E-04,1.40E-04,1.01E-04
735nm,1.32E-04,1.38E-04,1.03E-04
736nm,1.37E-04,1.36E-04,1.01E-04
737nm,1.41E-04,1.35E-04,9.76E-05
738nm,1.41E-04,1.34E-04,9.43E-05
739nm,1.32E-04,1.34E-04,9.06E-05
740nm,1.05E-04,1.38E-04,8.66E-05
741nm,7.57E-05,1.41E-04,8.31E-05
742nm,4.95E-05,1.42E-04,8.02E-05
743nm,3.54E-05,1.37E-04,7.94E-05
744nm,4.47E-05,1.23E-04,8.20E-05
745nm,5.96E-05,1.07E-04,8.48E-05
746nm,7.67E-05,9.16E-05,8.70E-05
747nm,8.94E-05,8.13E-05,8.61E-05
748nm,9.17E-05,7.99E-05,8.03E-05
749nm,9.11E-05,8.08E-05,7.33E-05
750nm,8.83E-05,8.28E-05,6.62E-05
751nm,8.31E-05,8.32E-05,6.11E-05
752nm,7.61E-05,8.03E-05,5.91E-05
753nm,6.92E-05,7.70E-05,5.79E-05
754nm,6.36E-05,7.35E-05,5.72E-05
755nm,6.41E-05,7.07E-05,5.55E-05
756nm,7.18E-05,6.89E-05,5.25E-05
757nm,7.94E-05,6.73E-05,5.04E-05
758nm,8.48E-05,6.61E-05,4.98E-05
759nm,7.98E-05,6.47E-05,5.38E-05
760nm,6.39E-05,6.32E-05,6.23E-05
761nm,4.64E-05,6.21E-05,7.16E-05
762nm,3.01E-05,6.14E-05,8.04E-05
763nm,2.38E-05,6.27E-05,8.65E-05
764nm,2.71E-05,6.54E-05,8.92E-05
765nm,3.28E-05,6.76E-05,8.90E-05
766nm,3.92E-05,6.87E-05,8.57E-05
767nm,4.08E-05,6.54E-05,7.56E-05
768nm,3.84E-05,5.87E-05,6.07E-05
769nm,3.54E-05,5.11E-05,4.49E-05
770nm,3.27E-05,4.36E-05,2.99E-05
771nm,3.46E-05,3.98E-05,2.06E-05
772nm,3.86E-05,3.82E-05,1.60E-05
773nm,4.16E-05,3.62E-05,1.41E-05
774nm,4.23E-05,3.30E-05,1.46E-05
775nm,3.17E-05,2.17E-05,2.09E-05
776nm,1.62E-05,7.53E-06,2.89E-05
777nm,1.43E-06,0.00E+00,3.52E-05
778nm,0.00E+00,0.00E+00,3.73E-05
779nm,0.00E+00,0.00E+00,2.27E-05
780nm,1.14E-05,5.60E-06,1.08E-06
